Planta,Producto,DescrProducto,Dia,Inventario,Abasto tránsito,Demanda
Colima,10000926,CPC40R BB,1,12,282,0
Colima,10000926,CPC40R BB,2,12,282,12
Colima,10000926,CPC40R BB,3,0,282,54
Colima,10000926,CPC40R BB,4,59,169,113
Colima,10000926,CPC40R BB,5,0,168,0
Colima,10000926,CPC40R BB,6,0,224,45
Colima,10000926,CPC40R BB,7,68,111,0
Colima,10000926,CPC40R BB,8,68,167,0
Colima,10000926,CPC40R BB,9,130,111,20
Colima,10000926,CPC40R BB,10,110,111,16
Colima,10000926,CPC40R BB,11,94,111,16
Colima,10000926,CPC40R BB,12,78,111,48
Colima,10000926,CPC40R BB,13,85,112,16
Colima,10000926,CPC40R BB,14,69,112,0
Colima,10000926,CPC40R BB,15,69,112,6
Colima,10000926,CPC40R BB,16,64,112,16
Colima,10000926,CPC40R BB,17,104,112,0
Colima,10000926,CPC40R BB,18,104,112,16
Colima,10000926,CPC40R BB,19,87,112,16
Colima,10000926,CPC40R BB,20,127,113,32
Colima,10000926,CPC40R BB,21,95,113,0
Colima,10000926,CPC40R BB,22,95,113,32
Colima,10000926,CPC40R BB,23,63,169,46
Colima,10000926,CPC40R BB,24,74,112,0
Colima,10000926,CPC40R BB,25,74,168,48
Colima,10000926,CPC40R BB,26,81,113,16
Colima,10000926,CPC40R BB,27,65,170,0
Colima,10000926,CPC40R BB,28,65,226,0
Colima,10000926,CPC40R BB,29,65,226,34
Colima,10000926,CPC40R BB,30,88,169,8
Colima,10000926,CPC40R BB,31,81,169,0
Colima,10000920,Mortero 50k,1,19,350,0
Colima,10000920,Mortero 50k,2,19,350,53
Colima,10000920,Mortero 50k,3,3,350,68
Colima,10000920,Mortero 50k,4,5,280,70
Colima,10000920,Mortero 50k,5,5,350,40
Colima,10000920,Mortero 50k,6,1,490,68
Colima,10000920,Mortero 50k,7,109,420,0
Colima,10000920,Mortero 50k,8,109,420,30
Colima,10000920,Mortero 50k,9,219,350,29
Colima,10000920,Mortero 50k,10,190,350,91
Colima,10000920,Mortero 50k,11,239,210,47
Colima,10000920,Mortero 50k,12,262,210,39
Colima,10000920,Mortero 50k,13,293,210,32
Colima,10000920,Mortero 50k,14,262,280,0
Colima,10000920,Mortero 50k,15,262,280,62
Colima,10000920,Mortero 50k,16,340,210,25
Colima,10000920,Mortero 50k,17,315,210,175
Colima,10000920,Mortero 50k,18,280,140,44
Colima,10000920,Mortero 50k,19,306,210,76
Colima,10000920,Mortero 50k,20,301,280,102
Colima,10000920,Mortero 50k,21,339,280,0
Colima,10000920,Mortero 50k,22,339,280,71
Colima,10000920,Mortero 50k,23,338,210,38
Colima,10000920,Mortero 50k,24,300,210,131
Colima,10000920,Mortero 50k,25,309,70,161
Colima,10000920,Mortero 50k,26,218,140,227
Colima,10000920,Mortero 50k,27,27,316,72
Colima,10000920,Mortero 50k,28,203,280,0
Colima,10000920,Mortero 50k,29,203,420,61
Colima,10000920,Mortero 50k,30,289,350,294
Colima,10000920,Mortero 50k,31,276,140,108
Colima,10000969,Impercem 50k,1,8,0,0
Colima,10000969,Impercem 50k,2,8,0,0
Colima,10000969,Impercem 50k,3,8,0,7
Colima,10000969,Impercem 50k,4,1,0,1
Colima,10000969,Impercem 50k,5,11,0,0
Colima,10000969,Impercem 50k,6,11,0,0
Colima,10000969,Impercem 50k,7,11,0,0
Colima,10000969,Impercem 50k,8,11,0,0
Colima,10000969,Impercem 50k,9,11,0,0
Colima,10000969,Impercem 50k,10,11,0,0
Colima,10000969,Impercem 50k,11,11,0,1
Colima,10000969,Impercem 50k,12,10,0,0
Colima,10000969,Impercem 50k,13,10,0,0
Colima,10000969,Impercem 50k,14,10,0,0
Colima,10000969,Impercem 50k,15,10,0,0
Colima,10000969,Impercem 50k,16,10,0,1
Colima,10000969,Impercem 50k,17,9,0,0
Colima,10000969,Impercem 50k,18,9,0,1
Colima,10000969,Impercem 50k,19,14,0,0
Colima,10000969,Impercem 50k,20,14,0,0
Colima,10000969,Impercem 50k,21,14,0,0
Colima,10000969,Impercem 50k,22,14,0,0
Colima,10000969,Impercem 50k,23,14,0,0
Colima,10000969,Impercem 50k,24,14,0,0
Colima,10000969,Impercem 50k,25,14,0,0
Colima,10000969,Impercem 50k,26,14,0,0
Colima,10000969,Impercem 50k,27,14,0,10
Colima,10000969,Impercem 50k,28,4,0,0
Colima,10000969,Impercem 50k,29,4,0,0
Colima,10000969,Impercem 50k,30,22,0,0
Colima,10000969,Impercem 50k,31,22,0,0
Colima,10002066,CPC30R 50k,1,294,580,0
Colima,10002066,CPC30R 50k,2,294,580,251
Colima,10002066,CPC30R 50k,3,43,580,194
Colima,10002066,CPC30R 50k,4,80,350,80
Colima,10002066,CPC30R 50k,5,223,280,24
Colima,10002066,CPC30R 50k,6,199,510,33
Colima,10002066,CPC30R 50k,7,307,440,0
Colima,10002066,CPC30R 50k,8,307,440,29
Colima,10002066,CPC30R 50k,9,508,210,61
Colima,10002066,CPC30R 50k,10,448,210,58
Colima,10002066,CPC30R 50k,11,530,70,49
Colima,10002066,CPC30R 50k,12,481,70,43
Colima,10002066,CPC30R 50k,13,438,140,50
Colima,10002066,CPC30R 50k,14,458,70,0
Colima,10002066,CPC30R 50k,15,458,70,69
Colima,10002066,CPC30R 50k,16,389,160,45
Colima,10002066,CPC30R 50k,17,415,160,102
Colima,10002066,CPC30R 50k,18,403,140,206
Colima,10002066,CPC30R 50k,19,219,280,197
Colima,10002066,CPC30R 50k,20,235,280,79
Colima,10002066,CPC30R 50k,21,296,350,0
Colima,10002066,CPC30R 50k,22,296,420,208
Colima,10002066,CPC30R 50k,23,298,350,268
Colima,10002066,CPC30R 50k,24,170,350,219
Colima,10002066,CPC30R 50k,25,164,490,122
Colima,10002066,CPC30R 50k,26,184,700,159
Colima,10002066,CPC30R 50k,27,375,420,120
Colima,10002066,CPC30R 50k,28,395,350,0
Colima,10002066,CPC30R 50k,29,395,420,128
Colima,10002066,CPC30R 50k,30,477,280,141
Colima,10002066,CPC30R 50k,31,406,350,364
Colima,10042669,Bco CPC30R 25k,1,11,0,0
Colima,10042669,Bco CPC30R 25k,2,11,0,0
Colima,10042669,Bco CPC30R 25k,3,11,0,11
Colima,10042669,Bco CPC30R 25k,4,1,0,1
Colima,10042669,Bco CPC30R 25k,5,11,0,0
Colima,10042669,Bco CPC30R 25k,6,11,0,0
Colima,10042669,Bco CPC30R 25k,7,11,0,0
Colima,10042669,Bco CPC30R 25k,8,11,0,1
Colima,10042669,Bco CPC30R 25k,9,10,0,1
Colima,10042669,Bco CPC30R 25k,10,9,0,0
Colima,10042669,Bco CPC30R 25k,11,9,0,2
Colima,10042669,Bco CPC30R 25k,12,8,0,0
Colima,10042669,Bco CPC30R 25k,13,8,0,1
Colima,10042669,Bco CPC30R 25k,14,7,0,0
Colima,10042669,Bco CPC30R 25k,15,7,0,1
Colima,10042669,Bco CPC30R 25k,16,7,0,0
Colima,10042669,Bco CPC30R 25k,17,7,0,0
Colima,10042669,Bco CPC30R 25k,18,7,0,2
Colima,10042669,Bco CPC30R 25k,19,9,0,0
Colima,10042669,Bco CPC30R 25k,20,9,0,0
Colima,10042669,Bco CPC30R 25k,21,9,0,0
Colima,10042669,Bco CPC30R 25k,22,9,0,0
Colima,10042669,Bco CPC30R 25k,23,9,0,0
Colima,10042669,Bco CPC30R 25k,24,9,0,0
Colima,10042669,Bco CPC30R 25k,25,9,0,1
Colima,10042669,Bco CPC30R 25k,26,9,0,0
Colima,10042669,Bco CPC30R 25k,27,9,0,8
Colima,10042669,Bco CPC30R 25k,28,1,0,0
Colima,10042669,Bco CPC30R 25k,29,1,0,1
Colima,10042669,Bco CPC30R 25k,30,11,0,4
Colima,10042669,Bco CPC30R 25k,31,7,0,0
Colima,10042668,Bco CPC30R 50k,1,9,0,0
Colima,10042668,Bco CPC30R 50k,2,9,0,0
Colima,10042668,Bco CPC30R 50k,3,9,0,0
Colima,10042668,Bco CPC30R 50k,4,9,0,0
Colima,10042668,Bco CPC30R 50k,5,9,0,0
Colima,10042668,Bco CPC30R 50k,6,9,0,0
Colima,10042668,Bco CPC30R 50k,7,9,0,0
Colima,10042668,Bco CPC30R 50k,8,9,0,1
Colima,10042668,Bco CPC30R 50k,9,8,0,0
Colima,10042668,Bco CPC30R 50k,10,8,0,3
Colima,10042668,Bco CPC30R 50k,11,5,0,0
Colima,10042668,Bco CPC30R 50k,12,5,0,0
Colima,10042668,Bco CPC30R 50k,13,5,0,2
Colima,10042668,Bco CPC30R 50k,14,3,0,0
Colima,10042668,Bco CPC30R 50k,15,3,0,0
Colima,10042668,Bco CPC30R 50k,16,3,0,0
Colima,10042668,Bco CPC30R 50k,17,3,0,0
Colima,10042668,Bco CPC30R 50k,18,3,0,0
Colima,10042668,Bco CPC30R 50k,19,5,0,0
Colima,10042668,Bco CPC30R 50k,20,5,0,0
Colima,10042668,Bco CPC30R 50k,21,5,0,0
Colima,10042668,Bco CPC30R 50k,22,5,0,0
Colima,10042668,Bco CPC30R 50k,23,5,0,0
Colima,10042668,Bco CPC30R 50k,24,5,0,0
Colima,10042668,Bco CPC30R 50k,25,5,0,0
Colima,10042668,Bco CPC30R 50k,26,5,0,0
Colima,10042668,Bco CPC30R 50k,27,5,0,0
Colima,10042668,Bco CPC30R 50k,28,5,0,0
Colima,10042668,Bco CPC30R 50k,29,5,0,0
Colima,10042668,Bco CPC30R 50k,30,5,0,0
Colima,10042668,Bco CPC30R 50k,31,5,0,0
Colima,10003053,Multiplast 40.0k,1,42,0,0
Colima,10003053,Multiplast 40.0k,2,42,0,2
Colima,10003053,Multiplast 40.0k,3,39,0,0
Colima,10003053,Multiplast 40.0k,4,39,0,1
Colima,10003053,Multiplast 40.0k,5,38,0,0
Colima,10003053,Multiplast 40.0k,6,38,0,2
Colima,10003053,Multiplast 40.0k,7,36,0,0
Colima,10003053,Multiplast 40.0k,8,36,0,0
Colima,10003053,Multiplast 40.0k,9,36,0,1
Colima,10003053,Multiplast 40.0k,10,35,0,0
Colima,10003053,Multiplast 40.0k,11,35,0,0
Colima,10003053,Multiplast 40.0k,12,35,0,0
Colima,10003053,Multiplast 40.0k,13,35,0,0
Colima,10003053,Multiplast 40.0k,14,35,0,0
Colima,10003053,Multiplast 40.0k,15,35,0,1
Colima,10003053,Multiplast 40.0k,16,34,0,0
Colima,10003053,Multiplast 40.0k,17,34,0,0
Colima,10003053,Multiplast 40.0k,18,34,0,0
Colima,10003053,Multiplast 40.0k,19,34,0,0
Colima,10003053,Multiplast 40.0k,20,34,0,2
Colima,10003053,Multiplast 40.0k,21,32,0,0
Colima,10003053,Multiplast 40.0k,22,32,0,0
Colima,10003053,Multiplast 40.0k,23,32,0,0
Colima,10003053,Multiplast 40.0k,24,32,0,0
Colima,10003053,Multiplast 40.0k,25,32,0,0
Colima,10003053,Multiplast 40.0k,26,32,0,0
Colima,10003053,Multiplast 40.0k,27,32,0,15
Colima,10003053,Multiplast 40.0k,28,17,0,0
Colima,10003053,Multiplast 40.0k,29,17,0,0
Colima,10003053,Multiplast 40.0k,30,17,0,2
Colima,10003053,Multiplast 40.0k,31,15,0,0
Colima,10000955,Bco CPC30R BB,7,0,36,32
Colima,10000955,Bco CPC30R BB,8,4,0,0
Colima,10000955,Bco CPC30R BB,9,4,0,4
Colima,10000926,CPC40R BB,1,81,169,32
Colima,10000926,CPC40R BB,2,105,112,64
Colima,10000926,CPC40R BB,3,153,0,0
Colima,10000926,CPC40R BB,4,153,57,0
Colima,10000926,CPC40R BB,5,153,113,0
Colima,10000926,CPC40R BB,6,153,113,16
Colima,10000926,CPC40R BB,7,137,113,0
Colima,10000926,CPC40R BB,8,137,113,16
Colima,10000926,CPC40R BB,9,121,113,12
Colima,10000926,CPC40R BB,10,109,113,18
Colima,10000926,CPC40R BB,11,91,113,0
Colima,10000926,CPC40R BB,12,91,113,49
Colima,10000926,CPC40R BB,13,99,112,4
Colima,10000926,CPC40R BB,14,95,169,34
Colima,10000926,CPC40R BB,15,117,113,0
Colima,10000926,CPC40R BB,16,117,113,0
Colima,10000926,CPC40R BB,17,117,113,33
Colima,10000926,CPC40R BB,18,84,113,0
Colima,10000926,CPC40R BB,19,84,169,31
Colima,10000926,CPC40R BB,20,54,224,64
Colima,10000926,CPC40R BB,21,46,224,60
Colima,10000926,CPC40R BB,22,39,223,32
Colima,10000926,CPC40R BB,23,97,223,16
Colima,10000926,CPC40R BB,24,135,169,6
Colima,10000926,CPC40R BB,25,130,169,0
Colima,10000926,CPC40R BB,26,130,169,52
Colima,10000926,CPC40R BB,27,78,169,0
Colima,10000926,CPC40R BB,28,78,225,58
Colima,10000926,CPC40R BB,29,74,169,16
Colima,10000920,Mortero 50k,1,238,70,42
Colima,10000920,Mortero 50k,2,266,70,21
Colima,10000920,Mortero 50k,3,245,140,6
Colima,10000920,Mortero 50k,4,239,210,0
Colima,10000920,Mortero 50k,5,239,210,0
Colima,10000920,Mortero 50k,6,239,210,16
Colima,10000920,Mortero 50k,7,293,210,27
Colima,10000920,Mortero 50k,8,336,210,43
Colima,10000920,Mortero 50k,9,294,210,33
Colima,10000920,Mortero 50k,10,330,210,23
Colima,10000920,Mortero 50k,11,308,210,0
Colima,10000920,Mortero 50k,12,308,210,32
Colima,10000920,Mortero 50k,13,276,280,129
Colima,10000920,Mortero 50k,14,288,140,66
Colima,10000920,Mortero 50k,15,292,140,58
Colima,10000920,Mortero 50k,16,304,140,0
Colima,10000920,Mortero 50k,17,304,210,129
Colima,10000920,Mortero 50k,18,245,210,0
Colima,10000920,Mortero 50k,19,245,280,21
Colima,10000920,Mortero 50k,20,294,280,42
Colima,10000920,Mortero 50k,21,322,280,53
Colima,10000920,Mortero 50k,22,339,210,101
Colima,10000920,Mortero 50k,23,308,140,50
Colima,10000920,Mortero 50k,24,328,140,76
Colima,10000920,Mortero 50k,25,322,160,0
Colima,10000920,Mortero 50k,26,322,223,18
Colima,10000920,Mortero 50k,27,304,293,152
Colima,10000920,Mortero 50k,28,312,133,165
Colima,10000920,Mortero 50k,29,279,140,168
Colima,10000969,Impercem 50k,1,22,0,0
Colima,10000969,Impercem 50k,2,22,0,0
Colima,10000969,Impercem 50k,3,22,0,0
Colima,10000969,Impercem 50k,4,22,0,0
Colima,10000969,Impercem 50k,5,22,0,0
Colima,10000969,Impercem 50k,6,22,0,0
Colima,10000969,Impercem 50k,7,22,0,0
Colima,10000969,Impercem 50k,8,22,0,0
Colima,10000969,Impercem 50k,9,22,0,1
Colima,10000969,Impercem 50k,10,21,0,0
Colima,10000969,Impercem 50k,11,21,0,0
Colima,10000969,Impercem 50k,12,21,0,0
Colima,10000969,Impercem 50k,13,21,0,2
Colima,10000969,Impercem 50k,14,19,0,0
Colima,10000969,Impercem 50k,15,19,0,0
Colima,10000969,Impercem 50k,16,19,0,0
Colima,10000969,Impercem 50k,17,19,0,0
Colima,10000969,Impercem 50k,18,19,0,0
Colima,10000969,Impercem 50k,19,19,0,0
Colima,10000969,Impercem 50k,20,19,0,1
Colima,10000969,Impercem 50k,21,18,0,0
Colima,10000969,Impercem 50k,22,18,0,0
Colima,10000969,Impercem 50k,23,18,0,0
Colima,10000969,Impercem 50k,24,18,0,0
Colima,10000969,Impercem 50k,25,18,0,0
Colima,10000969,Impercem 50k,26,18,0,0
Colima,10000969,Impercem 50k,27,18,0,4
Colima,10000969,Impercem 50k,28,14,0,0
Colima,10000969,Impercem 50k,29,14,0,0
Colima,10002066,CPC30R 50k,1,252,370,46
Colima,10002066,CPC30R 50k,2,347,440,30
Colima,10002066,CPC30R 50k,3,387,510,10
Colima,10002066,CPC30R 50k,4,517,440,0
Colima,10002066,CPC30R 50k,5,517,440,0
Colima,10002066,CPC30R 50k,6,517,440,44
Colima,10002066,CPC30R 50k,7,473,510,36
Colima,10002066,CPC30R 50k,8,507,440,72
Colima,10002066,CPC30R 50k,9,505,370,41
Colima,10002066,CPC30R 50k,10,465,370,49
Colima,10002066,CPC30R 50k,11,427,370,0
Colima,10002066,CPC30R 50k,12,427,370,39
Colima,10002066,CPC30R 50k,13,528,300,182
Colima,10002066,CPC30R 50k,14,507,140,234
Colima,10002066,CPC30R 50k,15,413,140,73
Colima,10002066,CPC30R 50k,16,340,370,0
Colima,10002066,CPC30R 50k,17,340,580,72
Colima,10002066,CPC30R 50k,18,498,420,0
Colima,10002066,CPC30R 50k,19,498,490,41
Colima,10002066,CPC30R 50k,20,527,510,178
Colima,10002066,CPC30R 50k,21,489,370,109
Colima,10002066,CPC30R 50k,22,464,370,257
Colima,10002066,CPC30R 50k,23,367,280,65
Colima,10002066,CPC30R 50k,24,441,350,51
Colima,10002066,CPC30R 50k,25,530,280,0
Colima,10002066,CPC30R 50k,26,530,350,173
Colima,10002066,CPC30R 50k,27,497,350,233
Colima,10002066,CPC30R 50k,28,404,280,253
Colima,10002066,CPC30R 50k,29,361,280,238
Colima,10042669,Bco CPC30R 25k,1,7,0,1
Colima,10042669,Bco CPC30R 25k,2,6,0,0
Colima,10042669,Bco CPC30R 25k,3,6,0,0
Colima,10042669,Bco CPC30R 25k,4,6,0,0
Colima,10042669,Bco CPC30R 25k,5,6,0,0
Colima,10042669,Bco CPC30R 25k,6,6,0,0
Colima,10042669,Bco CPC30R 25k,7,6,0,0
Colima,10042669,Bco CPC30R 25k,8,6,0,0
Colima,10042669,Bco CPC30R 25k,9,6,0,0
Colima,10042669,Bco CPC30R 25k,10,6,0,2
Colima,10042669,Bco CPC30R 25k,11,15,0,0
Colima,10042669,Bco CPC30R 25k,12,15,0,0
Colima,10042669,Bco CPC30R 25k,13,15,0,2
Colima,10042669,Bco CPC30R 25k,14,13,0,0
Colima,10042669,Bco CPC30R 25k,15,13,0,4
Colima,10042669,Bco CPC30R 25k,16,9,0,0
Colima,10042669,Bco CPC30R 25k,17,9,0,4
Colima,10042669,Bco CPC30R 25k,18,4,0,0
Colima,10042669,Bco CPC30R 25k,19,4,0,3
Colima,10042669,Bco CPC30R 25k,20,2,0,0
Colima,10042669,Bco CPC30R 25k,21,2,0,0
Colima,10042669,Bco CPC30R 25k,22,13,0,0
Colima,10042669,Bco CPC30R 25k,23,13,0,0
Colima,10042669,Bco CPC30R 25k,24,13,0,0
Colima,10042669,Bco CPC30R 25k,25,12,0,0
Colima,10042669,Bco CPC30R 25k,26,12,0,0
Colima,10042669,Bco CPC30R 25k,27,12,0,0
Colima,10042669,Bco CPC30R 25k,28,12,0,0
Colima,10042669,Bco CPC30R 25k,29,12,0,0
Colima,10042668,Bco CPC30R 50k,1,5,0,0
Colima,10042668,Bco CPC30R 50k,2,5,0,0
Colima,10042668,Bco CPC30R 50k,3,5,0,0
Colima,10042668,Bco CPC30R 50k,4,5,0,0
Colima,10042668,Bco CPC30R 50k,5,5,0,0
Colima,10042668,Bco CPC30R 50k,6,5,0,0
Colima,10042668,Bco CPC30R 50k,7,5,0,0
Colima,10042668,Bco CPC30R 50k,8,5,0,2
Colima,10042668,Bco CPC30R 50k,9,3,0,0
Colima,10042668,Bco CPC30R 50k,10,3,0,0
Colima,10042668,Bco CPC30R 50k,11,8,0,0
Colima,10042668,Bco CPC30R 50k,12,8,0,0
Colima,10042668,Bco CPC30R 50k,13,8,0,0
Colima,10042668,Bco CPC30R 50k,14,8,0,1
Colima,10042668,Bco CPC30R 50k,15,7,0,0
Colima,10042668,Bco CPC30R 50k,16,7,0,0
Colima,10042668,Bco CPC30R 50k,17,7,0,0
Colima,10042668,Bco CPC30R 50k,18,7,0,0
Colima,10042668,Bco CPC30R 50k,19,7,0,2
Colima,10042668,Bco CPC30R 50k,20,5,0,0
Colima,10042668,Bco CPC30R 50k,21,5,0,2
Colima,10042668,Bco CPC30R 50k,22,3,0,0
Colima,10042668,Bco CPC30R 50k,23,3,0,0
Colima,10042668,Bco CPC30R 50k,24,3,0,0
Colima,10042668,Bco CPC30R 50k,25,3,0,0
Colima,10042668,Bco CPC30R 50k,26,3,0,0
Colima,10042668,Bco CPC30R 50k,27,3,0,0
Colima,10042668,Bco CPC30R 50k,28,3,0,0
Colima,10042668,Bco CPC30R 50k,29,3,0,0
Colima,10003053,Multiplast 40.0k,1,15,0,3
Colima,10003053,Multiplast 40.0k,2,11,0,1
Colima,10003053,Multiplast 40.0k,3,10,0,0
Colima,10003053,Multiplast 40.0k,4,10,0,0
Colima,10003053,Multiplast 40.0k,5,10,0,0
Colima,10003053,Multiplast 40.0k,6,10,0,0
Colima,10003053,Multiplast 40.0k,7,10,0,0
Colima,10003053,Multiplast 40.0k,8,10,0,1
Colima,10003053,Multiplast 40.0k,9,9,0,0
Colima,10003053,Multiplast 40.0k,10,9,0,1
Colima,10003053,Multiplast 40.0k,11,17,0,0
Colima,10003053,Multiplast 40.0k,12,17,0,0
Colima,10003053,Multiplast 40.0k,13,17,0,4
Colima,10003053,Multiplast 40.0k,14,13,0,1
Colima,10003053,Multiplast 40.0k,15,13,0,0
Colima,10003053,Multiplast 40.0k,16,13,0,0
Colima,10003053,Multiplast 40.0k,17,13,0,2
Colima,10003053,Multiplast 40.0k,18,11,0,0
Colima,10003053,Multiplast 40.0k,19,11,0,2
Colima,10003053,Multiplast 40.0k,20,9,0,2
Colima,10003053,Multiplast 40.0k,21,7,0,3
Colima,10003053,Multiplast 40.0k,22,15,0,2
Colima,10003053,Multiplast 40.0k,23,13,0,2
Colima,10003053,Multiplast 40.0k,24,11,0,0
Colima,10003053,Multiplast 40.0k,25,11,0,0
Colima,10003053,Multiplast 40.0k,26,11,0,2
Colima,10003053,Multiplast 40.0k,27,9,0,0
Colima,10003053,Multiplast 40.0k,28,9,0,5
Colima,10003053,Multiplast 40.0k,29,4,0,1
Colima,10000926,CPC40R BB,1,114,113,0
Colima,10000926,CPC40R BB,2,114,113,0
Colima,10000926,CPC40R BB,3,171,56,0
Colima,10000926,CPC40R BB,4,171,56,69
Colima,10000926,CPC40R BB,5,100,113,8
Colima,10000926,CPC40R BB,6,149,56,16
Colima,10000926,CPC40R BB,7,133,167,16
Colima,10000926,CPC40R BB,8,125,167,47
Colima,10000926,CPC40R BB,9,78,167,31
Colima,10000926,CPC40R BB,10,102,112,0
Colima,10000926,CPC40R BB,11,102,112,6
Colima,10000926,CPC40R BB,12,208,0,43
Colima,10000926,CPC40R BB,13,164,0,45
Colima,10000926,CPC40R BB,14,120,55,96
Colima,10000926,CPC40R BB,15,20,112,48
Colima,10000926,CPC40R BB,16,57,169,4
Colima,10000926,CPC40R BB,17,89,225,0
Colima,10000926,CPC40R BB,18,89,225,0
Colima,10000926,CPC40R BB,19,89,225,59
Colima,10000926,CPC40R BB,20,87,168,53
Colima,10000926,CPC40R BB,21,89,113,16
Colima,10000926,CPC40R BB,22,130,112,48
Colima,10000926,CPC40R BB,23,81,112,6
Colima,10000926,CPC40R BB,24,131,56,0
Colima,10000926,CPC40R BB,25,131,56,80
Colima,10000926,CPC40R BB,26,108,0,108
Colima,10000926,CPC40R BB,27,0,0,0
Colima,10000926,CPC40R BB,28,45,111,6
Colima,10000926,CPC40R BB,29,75,165,0
Colima,10000926,CPC40R BB,30,75,165,0
Colima,10000926,CPC40R BB,31,75,165,0
Colima,10000920,Mortero 50k,1,112,280,188
Colima,10000920,Mortero 50k,2,85,350,51
Colima,10000920,Mortero 50k,3,34,490,0
Colima,10000920,Mortero 50k,4,34,490,113
Colima,10000920,Mortero 50k,5,158,420,36
Colima,10000920,Mortero 50k,6,193,490,78
Colima,10000920,Mortero 50k,7,255,490,35
Colima,10000920,Mortero 50k,8,220,490,101
Colima,10000920,Mortero 50k,9,189,434,5
Colima,10000920,Mortero 50k,10,267,350,0
Colima,10000920,Mortero 50k,11,267,350,163
Colima,10000920,Mortero 50k,12,244,210,33
Colima,10000920,Mortero 50k,13,281,350,62
Colima,10000920,Mortero 50k,14,290,280,105
Colima,10000920,Mortero 50k,15,325,210,188
Colima,10000920,Mortero 50k,16,207,210,18
Colima,10000920,Mortero 50k,17,259,140,0
Colima,10000920,Mortero 50k,18,259,140,0
Colima,10000920,Mortero 50k,19,259,280,142
Colima,10000920,Mortero 50k,20,187,280,182
Colima,10000920,Mortero 50k,21,215,210,166
Colima,10000920,Mortero 50k,22,49,420,77
Colima,10000920,Mortero 50k,23,112,280,103
Colima,10000920,Mortero 50k,24,45,350,0
Colima,10000920,Mortero 50k,25,45,490,127
Colima,10000920,Mortero 50k,26,58,350,44
Colima,10000920,Mortero 50k,27,190,350,112
Colima,10000920,Mortero 50k,28,218,280,27
Colima,10000920,Mortero 50k,29,261,280,0
Colima,10000920,Mortero 50k,30,261,280,0
Colima,10000920,Mortero 50k,31,261,280,0
Colima,10000969,Impercem 50k,1,14,0,0
Colima,10000969,Impercem 50k,2,14,0,0
Colima,10000969,Impercem 50k,3,14,0,0
Colima,10000969,Impercem 50k,4,14,0,0
Colima,10000969,Impercem 50k,5,14,0,0
Colima,10000969,Impercem 50k,6,14,0,0
Colima,10000969,Impercem 50k,7,14,0,2
Colima,10000969,Impercem 50k,8,12,0,0
Colima,10000969,Impercem 50k,9,12,0,0
Colima,10000969,Impercem 50k,10,12,0,0
Colima,10000969,Impercem 50k,11,12,0,0
Colima,10000969,Impercem 50k,12,12,0,0
Colima,10000969,Impercem 50k,13,12,0,0
Colima,10000969,Impercem 50k,14,12,0,12
Colima,10000969,Impercem 50k,15,16,0,0
Colima,10000969,Impercem 50k,16,16,0,0
Colima,10000969,Impercem 50k,17,16,0,0
Colima,10000969,Impercem 50k,18,16,0,0
Colima,10000969,Impercem 50k,19,16,0,0
Colima,10000969,Impercem 50k,20,16,0,0
Colima,10000969,Impercem 50k,21,16,0,1
Colima,10000969,Impercem 50k,22,16,0,0
Colima,10000969,Impercem 50k,23,16,0,2
Colima,10000969,Impercem 50k,24,14,0,0
Colima,10000969,Impercem 50k,25,14,0,0
Colima,10000969,Impercem 50k,26,14,0,0
Colima,10000969,Impercem 50k,27,14,0,0
Colima,10000969,Impercem 50k,28,14,0,0
Colima,10000969,Impercem 50k,29,14,0,0
Colima,10000969,Impercem 50k,30,14,0,0
Colima,10000969,Impercem 50k,31,14,0,0
Colima,10002066,CPC30R 50k,1,193,440,126
Colima,10002066,CPC30R 50k,2,277,370,19
Colima,10002066,CPC30R 50k,3,259,440,0
Colima,10002066,CPC30R 50k,4,259,510,69
Colima,10002066,CPC30R 50k,5,400,370,86
Colima,10002066,CPC30R 50k,6,404,280,118
Colima,10002066,CPC30R 50k,7,496,140,22
Colima,10002066,CPC30R 50k,8,474,140,121
Colima,10002066,CPC30R 50k,9,354,140,165
Colima,10002066,CPC30R 50k,10,189,280,0
Colima,10002066,CPC30R 50k,11,189,420,103
Colima,10002066,CPC30R 50k,12,156,350,89
Colima,10002066,CPC30R 50k,13,137,510,86
Colima,10002066,CPC30R 50k,14,257,510,204
Colima,10002066,CPC30R 50k,15,263,370,203
Colima,10002066,CPC30R 50k,16,360,210,178
Colima,10002066,CPC30R 50k,17,182,210,0
Colima,10002066,CPC30R 50k,18,182,420,0
Colima,10002066,CPC30R 50k,19,182,580,194
Colima,10002066,CPC30R 50k,20,268,510,213
Colima,10002066,CPC30R 50k,21,216,560,218
Colima,10002066,CPC30R 50k,22,138,580,246
Colima,10002066,CPC30R 50k,23,104,580,151
Colima,10002066,CPC30R 50k,24,23,580,0
Colima,10002066,CPC30R 50k,25,23,720,231
Colima,10002066,CPC30R 50k,26,2,510,225
Colima,10002066,CPC30R 50k,27,113,420,251
Colima,10002066,CPC30R 50k,28,72,350,63
Colima,10002066,CPC30R 50k,29,9,510,0
Colima,10002066,CPC30R 50k,30,9,510,0
Colima,10002066,CPC30R 50k,31,9,510,0
Colima,10042669,Bco CPC30R 25k,1,12,0,0
Colima,10042669,Bco CPC30R 25k,2,12,0,2
